"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"RWA",2001,10.68536000877258379,6799.886426294490723
"RWA",2002,4.53482884819837797,2850.89124131678387
"RWA",2003,28.97537139098889834,16510.00899810637596
"RWA",2004,6.99410998955179902,4230.51315188979846
"RWA",2005,14.37314064857829161,8975.53851538811027
"RWA",2006,39.35351762318975038,23818.34512783668664
"RWA",2007,8.76252429343526334,5291.283761033786365
"RWA",2008,26.6700604082164830,16691.20563171939245
"RWA",2009,12.91286921238824067,7835.92938190911633
"RWA",2010,24.28849072414360988,15557.16781927118578
"RWA",2011,7.14859329861565521,4431.674472347121810
"RWA",2012,6.61048885081624340,3892.625136322975750
"RWA",2013,15.29798292623718424,8404.607395674145771
"RWA",2014,34.36440093761277843,19513.684451990534460
"RWA",2015,9.37917762045498479,5794.25897395962782
"RWA",2016,22.90390339691087750,14770.59914350921253
"RWA",2017,14.21964107265265513,9298.31574990984972
"RWA",2018,39.96997861879591146,25257.454012575577789
"RWA",2019,13.83436646568088300,9407.555475081050415
"RWA",2020,113.51665535654929965,64048.805768868028794
"RWA",2021,42.27397623991340059,26332.358900077680325
"RWA",2022,14.75816375012824019,9749.100972911311051
"RWA",2023,28.05303674098064264,21501.17017327790963
"RWA",2024,20.59919881394775206,16793.161514615095352
