"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"BRA",2001,465542.98364393971565437,294951455.3061270664443145
"BRA",2002,1621765.13492838445094268,961960335.619083499932801
"BRA",2003,1570575.59144273139228188,918181096.353598243824463
"BRA",2004,2016477.15875671515194142,1228463426.458895878529438
"BRA",2005,1824425.46707177366570386,1159492758.125740837189481
"BRA",2006,1415580.29786524282074073,892316654.228031079000153
"BRA",2007,1149563.43289540571566729,704403119.476429901129863
"BRA",2008,1075145.50370086635165437,681781599.618336483029278
"BRA",2009,700169.31472087553538799,462983834.429475581738379
"BRA",2010,1153025.30962984914037422,724454103.503253316237504
"BRA",2011,803048.89456417338416985,509511131.5116641479224756
"BRA",2012,1116088.23276086841207584,716978213.640209538063659
"BRA",2013,632093.50680572232960328,408244477.495072060160839
"BRA",2014,940904.58865900563974413,604087635.273384131243525
"BRA",2015,828870.02080002449892254,538207154.360149959385353
"BRA",2016,2830977.44497392687247001,1860379780.360001887547618
"BRA",2017,2134649.25395587047463524,1297035649.266063598928169
"BRA",2018,1347132.98387328678251614,897641992.763153229680853
"BRA",2019,1361094.44275899699273751,904852526.724394581285237
"BRA",2020,1704091.54021772950557780,1073954229.459669718369578
"BRA",2021,1548658.40065510870173286,1034605558.953945534140167
"BRA",2022,1772689.80106485399181870,1219278493.576843071957978
