country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
angola,7.576,7.826,8.083,8.348,8.621,8.902,9.192,9.489,9.795,10.11,10.435,10.798,11.204,11.624,12.058,12.504,12.965,13.441,13.932,14.436,14.957,15.632,16.455,17.31,18.202,19.128,20.092,21.088,22.122,23.192,24.298,25.437,26.612,27.821,29.065,30.338,31.643,32.978,34.343,35.731,37.144,38.58,40.039,41.511,43,44.169,45.346,46.525,47.71,48.897,50.087,51.274,52.461,53.645,54.827,56,56.764,57.524,58.282,59.034,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,66.177,66.825,67.46,68.081,68.688,69.281,69.86,70.425,70.976,71.513,72.037,72.546,73.042,73.524,73.993,74.448,74.889,75.317,75.731,76.132,76.518,76.89,77.258,77.623,77.983,78.339,78.691,79.039,79.382,79.721,80.057,80.388
cameroon,9.333,9.724,10.129,10.549,10.984,11.434,11.902,12.384,12.884,13.401,13.937,14.488,15.058,15.647,16.255,16.88,17.525,18.19,18.875,19.577,20.3,21.584,22.927,24.324,25.78,27.292,28.678,29.469,30.274,31.091,31.921,32.761,33.613,34.476,35.35,36.232,37.124,37.941,38.511,39.082,39.657,40.235,40.817,41.399,41.985,42.573,43.164,43.755,44.348,44.944,45.542,46.139,46.738,47.338,47.94,48.541,49.143,49.746,50.35,50.954,51.559,52.164,52.769,53.373,53.976,54.578,55.179,55.777,56.374,56.968,57.56,58.148,58.733,59.315,59.892,60.464,61.032,61.594,62.15,62.7,63.242,63.777,64.301,64.823,65.342,65.858,66.37,66.877,67.381,67.881,68.377,68.869,69.357,69.84,70.319,70.793,71.264,71.729,72.19,72.646,73.098
central african republic,14.418,14.92,15.437,15.966,16.512,17.072,17.648,18.237,18.842,19.463,20.1,20.751,21.418,22.1,22.803,23.519,24.252,25,25.815,26.645,27.492,28.356,29.238,30.133,31.045,31.971,32.575,32.897,33.221,33.546,33.874,34.202,34.532,34.864,35.198,35.532,35.868,36.206,36.545,36.744,36.825,36.906,36.987,37.068,37.149,37.231,37.312,37.394,37.475,37.557,37.639,37.72,37.802,37.884,37.966,38.069,38.193,38.339,38.506,38.694,38.904,39.135,39.388,39.663,39.959,40.277,40.618,40.98,41.364,41.77,42.198,42.648,43.12,43.614,44.13,44.666,45.223,45.801,46.399,47.014,47.646,48.28,48.916,49.551,50.187,50.823,51.458,52.093,52.727,53.361,53.993,54.624,55.253,55.881,56.507,57.131,57.753,58.372,58.989,59.602,60.213
chad,4.5,4.684,4.876,5.074,5.281,5.495,5.718,5.948,6.188,6.437,6.695,6.962,7.239,7.527,7.877,8.406,8.968,9.564,10.196,10.862,11.568,12.313,13.1,13.882,14.704,15.566,16.47,17.413,18.4,18.592,18.787,18.982,19.179,19.377,19.578,19.779,19.983,20.187,20.394,20.602,20.811,21.023,21.235,21.408,21.44,21.473,21.506,21.538,21.571,21.604,21.637,21.67,21.702,21.735,21.768,21.801,21.834,21.868,21.901,21.934,21.985,22.054,22.142,22.248,22.372,22.515,22.677,22.858,23.059,23.279,23.52,23.781,24.063,24.366,24.691,25.038,25.407,25.799,26.215,26.654,27.117,27.604,28.116,28.653,29.214,29.798,30.39,30.989,31.594,32.206,32.824,33.448,34.077,34.713,35.353,36,36.651,37.307,37.968,38.633,39.303
congo,24.926,25.549,26.183,26.826,27.479,28.143,28.816,29.498,30.189,30.89,31.601,32.318,33.045,33.78,34.524,35.273,36.031,36.796,37.569,38.345,39.129,39.919,40.715,41.514,42.357,43.264,44.177,45.091,46.01,46.932,47.857,48.781,49.707,50.633,51.56,52.221,52.642,53.064,53.485,53.905,54.324,54.743,55.162,55.58,55.996,56.413,56.832,57.299,57.766,58.231,58.695,59.156,59.617,60.076,60.533,60.988,61.441,61.893,62.346,62.8,63.256,63.712,64.169,64.627,65.085,65.543,66.001,66.459,66.916,67.373,67.829,68.283,68.736,69.188,69.638,70.085,70.53,70.973,71.412,71.848,72.28,72.708,73.131,73.548,73.962,74.372,74.777,75.179,75.576,75.968,76.357,76.74,77.12,77.495,77.866,78.232,78.594,78.952,79.305,79.654,79.998
democratic republic of the congo,19.1,19.403,19.711,20.021,20.336,20.654,20.976,21.301,21.63,21.963,22.3,22.523,22.749,22.976,23.204,23.434,23.666,23.899,24.134,24.37,24.608,24.847,25.089,25.331,25.575,25.821,26.068,26.317,26.567,26.819,27.072,27.327,27.583,27.84,28.1,28.513,28.93,29.35,29.775,30.202,30.633,31.067,31.506,31.946,32.39,32.838,33.289,33.742,34.199,34.659,35.122,35.587,36.055,36.526,37,37.481,37.971,38.47,38.976,39.491,40.013,40.544,41.082,41.627,42.18,42.74,43.307,43.88,44.46,45.046,45.638,46.235,46.837,47.444,48.055,48.669,49.286,49.905,50.525,51.145,51.762,52.381,52.999,53.616,54.232,54.847,55.46,56.072,56.681,57.289,57.895,58.498,59.099,59.697,60.292,60.884,61.473,62.058,62.64,63.219,63.794
equatorial guinea,15.463,16.806,17.645,18.515,19.418,20.355,21.326,22.328,23.364,24.434,25.537,26.144,26.234,26.323,26.413,26.502,26.592,26.682,26.773,26.863,26.954,27.045,27.136,27.227,27.319,27.41,27.502,27.594,27.687,27.779,27.872,27.965,28.058,28.151,29.028,29.94,30.871,31.817,32.78,33.755,34.745,35.748,36.766,37.792,38.831,40.494,42.187,43.893,45.616,47.35,49.092,50.832,52.573,54.307,56.033,57.74,59.431,61.1,62.745,64.358,65.94,67.488,69,69.544,70.083,70.616,71.138,71.646,72.143,72.627,73.1,73.561,74.01,74.448,74.874,75.29,75.695,76.088,76.472,76.845,77.207,77.56,77.903,78.236,78.559,78.874,79.179,79.475,79.762,80.04,80.31,80.571,80.829,81.085,81.338,81.589,81.837,82.083,82.325,82.566,82.803
gabon,11.4,11.907,12.435,12.98,13.547,14.135,14.744,15.374,16.026,16.7,17.398,18.33,19.594,20.923,22.318,23.775,25.297,26.883,28.533,30.237,32,34.082,36.231,38.43,40.681,42.971,45.295,47.633,49.985,52.337,54.682,57,58.372,59.73,61.076,62.402,63.711,65,66.412,67.792,69.143,70.462,71.749,72.999,73.921,74.797,75.654,76.49,77.306,78.102,78.879,79.633,80.368,81.083,81.778,82.452,83.107,83.742,84.359,84.955,85.533,86.092,86.634,87.156,87.651,88.118,88.559,88.976,89.37,89.741,90.092,90.423,90.735,91.029,91.307,91.568,91.814,92.046,92.264,92.47,92.663,92.844,93.014,93.173,93.322,93.462,93.592,93.713,93.826,93.93,94.033,94.134,94.233,94.331,94.428,94.522,94.616,94.707,94.798,94.886,94.974
sao tome and principe,13.49,13.732,13.977,14.226,14.478,14.735,14.995,15.258,15.526,15.797,16.073,16.805,17.969,19.194,20.484,21.833,23.247,24.724,26.264,27.861,29.518,30.205,30.561,30.917,31.277,31.639,32.004,32.37,32.738,33.109,33.482,33.857,34.826,35.887,36.963,38.049,39.149,40.26,41.382,42.511,43.648,44.793,45.764,46.717,47.673,48.631,49.592,50.55,51.509,52.467,53.424,54.377,55.555,56.766,57.972,59.165,60.348,61.52,62.68,63.823,64.952,66.064,67.16,68.208,69.213,70.174,71.092,71.968,72.803,73.598,74.354,75.073,75.755,76.401,77.014,77.593,78.14,78.657,79.144,79.602,80.032,80.436,80.814,81.166,81.495,81.8,82.083,82.343,82.582,82.819,83.053,83.284,83.513,83.74,83.963,84.185,84.404,84.62,84.834,85.045,85.255
botswana,2.716,2.749,2.782,2.815,2.849,2.883,2.918,2.953,2.988,3.024,3.06,3.097,3.134,3.171,3.318,3.839,4.437,5.124,5.912,6.81,7.834,8.998,9.695,10.381,11.11,11.884,12.705,13.572,14.489,15.457,16.479,17.552,19.489,21.723,24.139,26.724,29.483,32.401,35.467,38.648,41.933,45.292,46.443,47.286,48.133,48.981,49.83,50.677,51.525,52.372,53.219,54.062,54.57,55.029,55.488,55.944,56.4,57.928,59.444,60.937,62.412,63.865,64.768,65.572,66.368,67.155,67.933,68.7,69.446,70.172,70.877,71.56,72.224,72.867,73.49,74.093,74.677,75.241,75.787,76.314,76.822,77.313,77.786,78.242,78.681,79.103,79.509,79.899,80.274,80.633,80.976,81.305,81.619,81.917,82.213,82.504,82.792,83.076,83.356,83.633,83.905
namibia,13.408,13.811,14.225,14.648,15.082,15.526,15.981,16.446,16.923,17.41,17.909,18.334,18.748,19.17,19.6,20.035,20.478,20.929,21.387,21.852,22.292,22.559,22.829,23.1,23.374,23.651,23.929,24.21,24.493,24.778,25.066,25.355,25.611,25.861,26.113,26.366,26.621,26.877,27.136,27.395,27.656,27.919,28.336,28.823,29.316,29.813,30.316,30.823,31.335,31.851,32.373,32.898,33.766,34.709,35.666,36.632,37.61,38.598,39.597,40.601,41.616,42.637,43.693,44.756,45.826,46.9,47.961,49.005,50.032,51.042,52.033,53.005,53.956,54.886,55.795,56.681,57.544,58.384,59.201,59.993,60.762,61.505,62.225,62.919,63.589,64.233,64.853,65.447,66.016,66.559,67.077,67.566,68.054,68.537,69.017,69.492,69.964,70.431,70.894,71.352,71.807
south africa,42.23,42.664,43.101,43.537,43.975,44.413,44.853,45.293,45.734,46.176,46.619,46.793,46.906,47.02,47.134,47.248,47.362,47.476,47.59,47.704,47.809,47.869,47.929,47.989,48.049,48.109,48.169,48.229,48.289,48.349,48.425,48.591,48.756,48.922,49.088,49.372,49.905,50.439,50.972,51.505,52.037,52.554,53.038,53.521,54.004,54.486,54.967,55.449,55.93,56.411,56.891,57.368,57.898,58.446,58.993,59.536,60.077,60.616,61.154,61.687,62.218,62.746,63.272,63.793,64.312,64.828,65.341,65.85,66.355,66.856,67.354,67.847,68.335,68.819,69.298,69.773,70.242,70.706,71.165,71.618,72.065,72.506,72.942,73.371,73.793,74.209,74.617,75.018,75.41,75.799,76.184,76.565,76.941,77.313,77.681,78.045,78.404,78.759,79.11,79.456,79.798
