code,species,n
POPR,Pombalia prunifolia,15262
FAOC,Faramea occidentalis,12946
DEPA,Desmopsis panamensis,5705
MOMY,Mouriri myrtilloides,4769
ALBL,Alseis blackiana,4389
TRTU,Trichilia tuberculata,3350
SWSI,Swartzia simplex,2984
PRST,Protium stevensonii,2852
GARE,Garcinia recondita,2366
PRPA,Protium panamense,2252
HITR,Hirtella triandra,2153
CALO,Calophyllum longifolium,1390
OEMA,Oenocarpus mapora,1321
EUGA,Eugenia galalonensis,1279
COCU,Coussarea curvigemmia,1278
RISY,Rinorea sylvatica,1276
TAAR,Tabernaemontana arborea,1216
SIAM,Simarouba amara,1120
CAFR,Capparidastrum frondosum,1092
SOAF,Sorocea affinis,1089
PRCO,Prioria copaifera,1037
PAGU,Palicourea guianensis,1012
BETO,Beilschmiedia tovarensis,985
ANPA,Anaxagorea panamensis,940
CUSE,Cupania seemannii,929
TAPA,Tachigali panamensis,921
CEIN,Cecropia insignis,901
LAAG,Lacistema aggregatum,900
PSHO,Psychotria horizontalis,893
PRTE,Protium tenuifolium,875
GUGU,Guarea guidonia,818
EUOE,Eugenia oerstediana,817
QUAS,Quararibea asterolepis,736
CAEL,Cassipourea elliptica,725
PTHA,Pterocarpus hayesii,723
PSMA,Psychotria marginata,686
OULU,Ouratea lucens,672
ACDI,Acalypha diversifolia,659
XYMA,Xylopia macrantha,620
MAGU,Maquira guianensis,616
PORE,Pouteria reticulata,596
VISE,Virola sebifera,590
CHSC,Chamguava schippii,587
COLA,Cordia lasiocalyx,580
COBI,Cordia bicolor,549
RAAR,Randia armata,525
GULU,Guatteria lucens,494
INUM,Inga umbellifera,480
INMA,Inga marginata,474
DRST,Drypetes standleyi,461
LOHE,Lonchocarpus heptaphyllus,455
CRBI,Croton billbergianus,433
HECO,Heisteria concinna,429
CHAR,Chrysophyllum argenteum,424
MIAF,Miconia affinis,418
BRAL,Brosimum alicastrum,404
MINE,Miconia nervosa,396
POAR,Poulsenia armata,384
STTU,Stylogyne turbacensis,375
PILA,Picramnia latifolia,366
MOGA,Mosannona garwoodii,361
MIAR,Miconia argentea,356
PRCO,Protium costaricense,354
ANAC,Annona acuminata,352
SOEX,Socratea exorrhiza,344
INTH,Inga thibaudiana,337
LATH,Laetia thamnia,323
HEPU,Herrania purpurea,321
UNPI,Unonopsis pittieri,311
GUBU,Guarea bullata,304
EUNE,Eugenia nesiotica,292
INAC,Inga acuminata,291
COMA,Coccoloba manzinellensis,274
GAMA,Garcinia madruno,267
TRPA,Trichilia pallida,266
ALED,Alibertia edulis,263
SIPA,Siparuna pauciflora,255
HAFL,Hasseltia floribunda,252
INNO,Inga nobilis,248
EUCO,Eugenia coloradoensis,245
OCCE,Ocotea cernua,245
CAAC,Casearia aculeata,231
NECI,Nectandra cissiflora,231
TACR,Talisia croatii,223
CHEC,Chrysochlamys eclipes,219
SLTE,Sloanea terniflora,216
PEXA,Perebea xanthochyma,214
JACO,Jacaranda copaia,196
ASCR,Aspidosperma cruentum,189
CEOB,Cecropia obtusifolia,174
INGO,Inga goldmanii,172
APME,Apeiba membranacea,169
GUSU,Gustavia superba,167
ZAEK,Zanthoxylum ekmanii,166
PEMA,Pentagonia macrophylla,164
POBI,Pourouma bicolor,154
ERMA,Erythroxylum macrophyllum,147
SPMO,Spondias mombin,139
ALCO,Alchornea costaricensis,136
INSA,Inga sapindoides,136
SPRA,Spondias radlkoferi,133
TANE,Talisia nervosa,132
COAL,Cordia alliodora,131
SEDA,Senna dariensis,131
CURU,Cupania rufescens,128
TARO,Tabebuia rosea,124
OCOB,Ocotea oblonga,121
SOHA,Solanum hayesii,121
PLPI,Platymiscium pinnatum,120
GUFO,Guettarda foliacea,114
ZAPA,Zanthoxylum panamense,113
COCO,Coccoloba coronata,104
ANIN,Andira inermis,102
LIHY,Licania hypoleuca,102
LUSE,Luehea seemannii,101
TRCU,Triplaris cumingiana,100
BAMA,Bactris major,94
OCPU,Ocotea puberula,91
OCWH,Ocotea whitei,89
ORMA,Ormosia macrocalyx,89
ASGR,Astronium graveolens,81
CASY,Casearia sylvestris,79
CHCA,Chrysophyllum cainito,78
TRRA,Trophis racemosa,78
DIAR,Diospyros artanthifolia,75
MIHO,Miconia hondurensis,75
DAUM,Damburneya umbrosa,74
PSGR,Psychotria graciliflora,74
GUST,Guapira standleyana,73
