code,species,n
CAAR,Casearia arborea,72
PICO,Piper cordulatum,71
PIRE,Piper reticulatum,69
PLEL,Platypodium elegans,68
ASST,Astrocaryum standleyanum,67
ERPA,Erythroxylum panamense,65
VINO,Virola nobilis,65
HIAL,Hieronyma alchorneoides,63
SYGL,Symphonia globulifera,63
NELI,Nectandra lineata,62
DEAR,Dendropanax arboreus,59
HAAX,Hamelia axillaris,58
THAH,Thevetia ahouai,58
ACMA,Acalypha macrostachya,56
LAPA,Lacmellea panamensis,56
PADE,Palicourea deflexa,55
TEAM,Terminalia amazonia,50
CITR,Cinnamomum triplinerve,49
CESC,Celtis schippii,48
COCI,Conostegia cinnamomea,46
ADTR,Adelia triloba,45
HAGU,Handroanthus guayacan,45
GUGR,Guarea grandifolia,43
HEAC,Heisteria acuminata,43
ALPS,Allophylus psilospermus,42
ZAAC,Zanthoxylum acuminatum,42
HAAP,Hampea appendiculata,41
ABMA,Abarema macradenia,40
CESC,Cestrum schlechtendalii,40
NEAM,Neea amplifolia,40
POLA,Posoqueria latifolia,40
TRAS,Trattinnickia aspera,40
ERCO,Erythrina costaricensis,38
INLA,Inga laurina,37
CEPE,Ceiba pentandra,36
POST,Pouteria stipitata,35
VIBA,Vismia baccifera,35
GUUL,Guazuma ulmifolia,34
LAPR,Laetia procera,33
MALO,Maytenus longipes,33
TRCA,Trophis caucana,33
VOFE,Vochysia ferruginea,33
ANSP,Annona spraguei,32
MOPL,Moquilea platypus,32
ARFE,Ardisia fendleri,30
DIOL,Dipteryx oleifera,30
PSGR,Psychotria grandis,29
STAP,Sterculia apetala,29
CLDE,Clidemia dentata,28
INCO,Inga cocleensis,28
BACO,Bactris coloniata,27
LILA,Lindackeria laurina,27
MYSP,Myrcia splendens,27
CUAM,Cupania americana,26
SICR,Siparuna cristata,26
TRIN,Trema integerrima,26
QUAM,Quassia amara,25
ELOL,Elaeis oleifera,24
CACO,Casearia commersoniana,23
MARO,Malpighia romeroana,23
APTI,Apeiba tibourbou,22
ARGU,Ardisia guianensis,22
ATRO,Attalea rostrata,22
GEAM,Genipa americana,22
INPU,Inga punctata,21
STOC,Staphylea occidentalis,21
PSCH,Psychotria chagrensis,20
PAAC,Palicourea acuminata,19
XYOL,Xylosma oligandra,19
ORCO,Ormosia coccinea,18
CUCI,Cupania cinerea,17
PSLI,Psychotria limonensis,16
SOSP,Solanum splendens,16
AEPA,Aegiphila panamensis,15
HUCR,Hura crepitans,15
PICA,Piper cabagranum,15
TEOB,Terminalia oblonga,14
ZUGU,Zuelania guidonia,14
PISU,Piper subnudispicum,13
PSSE,Pseudobombax septenatum,12
SAGL,Sapium glandulosum,12
ANEX,Anacardium excelsum,11
INSP,Inga spectabilis,11
PSFR,Psidium friedrichsthalianum,11
VIMU,Virola multiflora,11
MIEL,Miconia elata,10
MYFR,Myrospermum frutescens,10
SOAS,Solanum asperum,10
SPME,Spachea membranacea,10
MARO,Macrocnemum roseum,9
PARA,Palicourea racemosa,9
PICU,Piper culebranum,9
SCPA,Schizolobium parahyba,9
APSI,Aphelandra sinclairiana,8
ENSC,Enterolobium schomburgkii,8
PIPL,Piper playablancanum,8
URBA,Urera baccifera,8
FIIN,Ficus insipida,7
FIOB,Ficus obtusifolia,7
FIPO,Ficus popenoei,7
OCPY,Ochroma pyramidale,7
BABA,Bactris barronis,5
CAGU,Casearia guianensis,5
CELO,Cecropia longipes,5
FITO,Ficus tonduzii,5
MIIM,Miconia impetiolaris,5
PAHO,Palicourea hoffmannseggiana,5
THCA,Theobroma cacao,5
HIAM,Hirtella americana,4
INRU,Inga ruiziana,4
LAPU,Lafoensia punicifolia,4
TOPI,Tocoyena pittieri,4
VAME,Vachellia melanoceras,4
CAPL,Cavanillesia platanifolia,3
CEOD,Cedrela odorata,3
CERA,Cestrum racemosum,3
COGL,Colubrina glandulosa,3
FICR,Ficus crocata,3
FIYO,Ficus yoponensis,3
INOE,Inga oerstediana,3
MIDO,Miconia dorsiloba,3
PIPA,Piper paulowniifolium,3
POFO,Pouteria fossicola,3
SOLE,Solanum lepidotum,3
TRMI,Trema micrantha,3
TRGA,Trichospermum galeottii,3
AMGL,Amaioua glomerulata,2
COHE,Coutarea hexandra,2
FIMA,Ficus maxima,2
MANO,Margaritaria nobilis,2
MALA,Marila laxiflora,2
MIPR,Miconia prasina,2
PIAL,Piper albopunctulatissimum,2
TRGI,Trichanthera gigantea,2
BRGU,Brosimum guianense,1
CHTE,Chamaedorea tepejilote,1
CHPA,Chimarrhis parviflora,1
FICI,Ficus citrifolia,1
FICO,Ficus costaricana,1
FIPE,Ficus pertusa,1
INPE,Inga pezizifera,1
LEDI,Leandra dichotoma,1
LOPI,Lozania pittieri,1
MATI,Maclura tinctoria,1
MIOC,Miconia octona,1
MISE,Miconia septuplinervia,1
PILO,Piper longispicum,1
POQU,Pochota quinata,1
VEGI,Verbesina gigantea,1
