code,species,n
TSUGCA,Tsuga canadensis,97
QUERRU,Quercus rubra,85
ACERRU,Acer rubrum,60
PINUST,Pinus strobus,46
PINURE,Pinus resinosa,33
PICEAB,Picea abies,19
BETUAL,Betula alleghaniensis,10
BETULE,Betula lenta,7
QUERVU,Quercus velutina,7
BETUPA,Betula papyrifera,3
FRAXAM,Fraxinus americana,3
FAGUGR,Fagus grandifolia,2
KALMLA,Kalma latifolia,1
PICERU,Picea rubens,1
