code,species,n
PAGU,Palicourea guianensis,1326
PAHO,Palicourea hoffmannseggiana,5
PARA,Palicourea racemosa,10
PEMA,Pentagonia macrophylla,340
PEXA,Perebea xanthochyma,223
PILA,Picramnia latifolia,1184
PIAL,Piper albopunctulatissimum,4
PICA,Piper cabagranum,39
PICO,Piper cordulatum,98
PICU,Piper culebranum,9
PILO,Piper longispicum,1
PIPA,Piper paulowniifolium,4
PIPL,Piper playablancanum,19
PIRE,Piper reticulatum,138
PISU,Piper subnudispicum,25
PLPI,Platymiscium pinnatum,196
PLEL,Platypodium elegans,101
POQU,Pochota quinata,1
POPR,Pombalia prunifolia,28960
POLA,Posoqueria latifolia,76
POAR,Poulsenia armata,859
POBI,Pourouma bicolor,164
POFO,Pouteria fossicola,4
PORE,Pouteria reticulata,1211
POST,Pouteria stipitata,57
PRCP,Prioria copaifera,1307
PRCN,Protium confusum,16
PRCS,Protium costaricense,772
PRPA,Protium panamense,3219
PRST,Protium stevensonii,5524
PRTE,Protium tenuifolium,3222
PSSE,Pseudobombax septenatum,33
PSFR,Psidium friedrichsthalianum,57
PSCH,Psychotria chagrensis,23
PSGR,Psychotria graciliflora,74
PSGS,Psychotria grandis,49
PSHO,Psychotria horizontalis,1856
PSLI,Psychotria limonensis,87
PSMA,Psychotria marginata,1003
PTHA,Pterocarpus hayesii,1184
PTOF,Pterocarpus officinalis,1
QUAS,Quararibea asterolepis,2310
QUAM,Quassia amara,113
RAAR,Randia armata,935
RALI,Rauvolfia littoralis,1
RISY,Rinorea sylvatica,2551
ROFO,Rosenbergiodendron formosum,1
SABR,Sapium broadleaf,3
SAGL,Sapium glandulosum,34
SCPA,Schizolobium parahyba,9
SEDA,Senna dariensis,248
SIAM,Simarouba amara,1855
SICR,Siparuna cristata,26
SIPA,Siparuna pauciflora,651
SLTE,Sloanea terniflora,447
SOEX,Socratea exorrhiza,453
SOAS,Solanum asperum,12
SOHA,Solanum hayesii,163
SOLE,Solanum lepidotum,3
SOSP,Solanum splendens,28
SOAF,Sorocea affinis,2214
SPME,Spachea membranacea,10
SPMO,Spondias mombin,164
SPRA,Spondias radlkoferi,257
STOC,Staphylea occidentalis,57
STAP,Sterculia apetala,52
STTU,Stylogyne turbacensis,863
SWSI,Swartzia simplex,6479
SYGL,Symphonia globulifera,155
TARO,Tabebuia rosea,257
TAAR,Tabernaemontana arborea,1877
TAGR,Tabernaemontana grandiflora,1
TAPA,Tachigali panamensis,1950
TACR,Talisia croatii,898
TANE,Talisia nervosa,732
TEAM,Terminalia amazonia,58
TEOB,Terminalia oblonga,87
TEJO,Tetrathylacium johansenii,1
THCA,Theobroma cacao,16
THAH,Thevetia ahouai,89
TOPI,Tocoyena pittieri,7
TRAS,Trattinnickia aspera,71
TRIN,Trema integerrima,51
TRMI,Trema micrantha,6
TRGI,Trichanthera gigantea,2
TRPA,Trichilia pallida,486
TRTU,Trichilia tuberculata,10781
TRGA,Trichospermum galeottii,4
TRCU,Triplaris cumingiana,250
TRCA,Trophis caucana,131
TRRA,Trophis racemosa,236
UNPI,Unonopsis pittieri,711
URBA,Urera baccifera,19
VAME,Vachellia melanoceras,44
VEGI,Verbesina gigantea,1
VIMU,Virola multiflora,34
VINO,Virola nobilis,159
VISE,Virola sebifera,1116
VIBA,Vismia baccifera,51
VIBI,Vismia billbergiana,7
VOFE,Vochysia ferruginea,38
XYMA,Xylopia macrantha,2131
XYOL,Xylosma oligandra,31
ZAAC,Zanthoxylum acuminatum,72
ZAEK,Zanthoxylum ekmanii,235
ZAPA,Zanthoxylum panamense,195
ZUGU,Zuelania guidonia,28
