"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PER",2001,28695.53397477914394763,19914401.726883448202976
"PER",2002,46063.89450106824289612,31226962.025497467335946
"PER",2003,43729.59676979141087736,29555427.023484293360587
"PER",2004,62017.75861789100457085,41779776.687182437644033
"PER",2005,97369.41128401882012333,65133288.820134768652086
"PER",2006,58804.71817906177384779,40076539.0990210990492355
"PER",2007,77966.68361388080706182,52106663.835120416422702
"PER",2008,88820.36125044935750592,61745011.516572978874402
"PER",2009,120183.05086225124282279,81255227.635235653221535
"PER",2010,100951.24471893632883422,68581602.776907509062109
"PER",2011,88877.99758571749421375,60295159.340304565833633
"PER",2012,177200.03186721884063035,119189191.644389868313350
"PER",2013,142872.63004606589570241,98747693.587989879451461
"PER",2014,133078.73613665603178126,90633918.652083112563388
"PER",2015,104841.75651323323285620,70758864.160750256652846
"PER",2016,142709.56487486354567991,95126840.575641381069304
"PER",2017,181024.45251898786719024,116185760.625406269960017
"PER",2018,140103.59110914480425498,94157121.227599661605606
"PER",2019,161514.28297081839433793,109376235.944389777125555
"PER",2020,190144.27910449883438108,127837726.901955095271077
"PER",2021,154181.39229788271413237,103499796.102308503679337
"PER",2022,160921.70873731029136165,107588745.275412455299069
"PER",2023,150326.69569823675926507,99528118.611676658766600
"PER",2024,189004.54790855190874817,117997135.994184158225093
